File_Name,File_Description,Standard,Start_Date,End_Date,Missing_Value_Codes,File_Path
readme_d50.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information. ,N/A,-9999,-9999,N/A,/D50_2021_Spatial_Study_Manuscript_Data_Package
221114_usgs_d50_matched.csv,This file contains information about USGS sampling site locations and d50 measurements.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
221115_rc2_master.csv,This file contains information about sampling sites and d50 estimates for YOLO; the Networks with EXchange and Subsurface Storage (NEXSS) model; and the model in Abeshu et al. (2022; doi:10.5194/essd-14-929-2022). Details about methods can be found in the manuscript associated with this data package. ,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
abeshu_fig1_digitized.csv,This file contains information about d50 values extracted from a digitized version of Figure 2 in  Abeshu et al. (2022; doi:10.5194/essd-14-929-2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
d50_dd.csv,Data dictionary that defines column headers across all csv files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,N/A; -9999; NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
d50_Train1_Prediction1_40.csv,This file contains information about images used for YOLO d50 estimates; and YOLO model diagnostics.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
nhd_yrb_D50_variable_updated.csv,This file contains information about site characteristics used for correlation analyses.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
RC2_all_D50.csv,This file contains estimates of d50 for sampling sites based on NEXSS and Abeshu et al. (2022; doi:10.5194/essd-14-929-2022) modeling approaches.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
RC2_all_stream_Attributes_updated.csv,This file contains information about sampling sites.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
d50_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for File-level Metadata (Velliquette et al. 2021),-9999,-9999,N/A; -9999; NA,/D50_2021_Spatial_Study_Manuscript_Data_Package
*_label.dat,File used to test YOLO model. Each file represents the model output for a given photo from a given site. The asterisk refers to the site ID; date; and an indicator to differentiate photos taken at the same site and date. PNNL_* represents the Hanford site included in the model construction. Please see our publication for additional information on sites used.,N/A,-9999,-9999,-9999,/D50_2021_Spatial_Study_Manuscript_Data_Package/TrainTest_IndividualGrains/test
*_label.dat,File used to test YOLO model. Each file represents the model output for a given photo from a given site. The asterisk refers to the site ID; date; and an indicator to differentiate photos taken at the same site and date. PNNL_* represents the Hanford site included in the model construction. Please see our publication for additional information on sites used.,N/A,-9999,-9999,-9999,/D50_2021_Spatial_Study_Manuscript_Data_Package/TrainTest_IndividualGrains/train
