stream_order,site_id,longitude,latitude,type,folder,label,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu
3,S17R,-121.10174,47.394429,Prediction1,yes,5,19.33103249,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,15.36599052,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,34.45809755,48.66764834,1.3633813
5,S18R,-121.096933,47.39603,Train1,none,0,17.77340644,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,no,3,54.5654383,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,test,4,23.48399575,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,34.10759678,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,20.10926939,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,21.70839742,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,18.07606749,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,23.78801324,91.7347576,2.238602
3,S19,-120.904118,47.258225,Prediction1,maybe,2,27.51736421,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,no,3,46.01652028,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,21.12962114,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,37.08063938,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,22.95529608,8.821904652,1.6317056
4,S19E,-120.878922,47.255067,Prediction1,maybe,2,12.91670323,22.45103372,0.5224068
4,S19E,-120.878922,47.255067,Prediction1,yes,5,12.1053433,22.45103372,0.5224068
4,S19E,-120.878922,47.255067,Prediction1,yes,5,12.78805138,22.45103372,0.5224068
5,S20R,-121.01556,47.19028,Train1,none,0,17.39578136,49.71805342,1.5836164
5,S20R,-121.01556,47.19028,Prediction1,maybe,2,21.02688341,49.71805342,1.5836164
5,S20R,-121.01556,47.19028,Prediction1,test,4,21.51344437,49.71805342,1.5836164
5,S20R,-121.01556,47.19028,Prediction1,yes,5,16.23560159,49.71805342,1.5836164
5,S20R,-121.01556,47.19028,Prediction1,yes,5,34.62640847,49.71805342,1.5836164
5,S21R,-121.043826,47.185797,Prediction1,maybe,2,14.48208732,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,maybe,2,24.95432529,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,maybe,2,28.93722386,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,15.81884676,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,16.3653744,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,27.88086116,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,14.9361149,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,11.38601586,13.965597,1.9475806
5,S24R,-121.108406,47.354254,Prediction1,maybe,2,36.77507344,117.6877963,2.3492994
5,S24R,-121.108406,47.354254,Prediction1,maybe,2,29.67903602,117.6877963,2.3492994
5,S24R,-121.108406,47.354254,Prediction1,yes,5,25.57411448,117.6877963,2.3492994
5,S24R,-121.108406,47.354254,Prediction1,yes,5,16.44632308,117.6877963,2.3492994
3,S25,-120.897057,47.262537,Prediction1,maybe,2,18.87147201,8.220336681,0.3911214
3,S25,-120.897057,47.262537,Prediction1,no,3,53.91226274,8.220336681,0.3911214
3,S25,-120.897057,47.262537,Prediction1,no,3,33.1167529,8.220336681,0.3911214
3,S25,-120.897057,47.262537,Prediction1,yes,5,13.22558538,8.220336681,0.3911214
5,S26R,-120.834427,47.168488,Prediction1,maybe,2,25.20672867,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,maybe,2,55.79710618,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,maybe,2,43.80614926,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,maybe,2,33.95363076,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,yes,5,22.04475618,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,yes,5,18.83141418,48.26868896,1.4357215
2,S27R,-121.176851,47.260155,Prediction1,maybe,2,31.89759458,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,maybe,2,37.30479748,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,no,3,35.91840357,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,18.80433276,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,18.26315137,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,20.70283944,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,19.25662608,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,17.16520164,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,18.94165526,8.017718257,1.6319832
4,S28R,-120.73804,47.124215,Train1,none,0,18.35436005,0.0048204,2.3612242
4,S28R,-120.73804,47.124215,Prediction1,test,4,16.41135972,0.0048204,2.3612242
4,S28R,-120.73804,47.124215,Prediction1,yes,5,16.28386472,0.0048204,2.3612242
6,S28RE,-120.73817,47.123516,Prediction1,maybe,2,75.49747342,0.0969155,1.9526943
6,S28RE,-120.73817,47.123516,Prediction1,maybe,2,27.13870331,0.0969155,1.9526943
6,S28RE,-120.73817,47.123516,Prediction1,no,3,19.39232888,0.0969155,1.9526943
6,S28RE,-120.73817,47.123516,Prediction1,no,3,56.04023269,0.0969155,1.9526943
4,S29R,-120.733369,47.082159,Prediction1,no,3,11.5987857,37.61957346,0.9511203
4,S30R,-120.5482254,46.09521496,Train1,none,0,34.93773758,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,VerticalQuadrat,1,19.14151359,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,maybe,2,35.44246663,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,no,3,20.71377358,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,no,3,19.14151359,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,no,3,20.91713536,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,test,4,36.31479816,3.432751697,1.0242773
5,S49R,-120.813351,46.724267,Prediction1,yes,5,27.16629547,41.76372637,0.7623739
4,S71,-120.691204,46.968185,Train1,none,0,41.86609449,36.4101646,0.9767226
4,S71,-120.691204,46.968185,Prediction1,test,4,37.28228225,36.4101646,0.9767226
4,S71,-120.691204,46.968185,Prediction1,yes,5,37.48846167,36.4101646,0.9767226
4,S72,-120.590443,46.99491,Prediction1,yes,5,26.67197746,33.77814872,1.3541058
4,S75,-120.51748,47.017577,Train1,none,0,23.33086046,3.3254298,3.3759937
4,S75,-120.51748,47.017577,Prediction1,maybe,2,22.27569347,3.3254298,3.3759937
4,S75,-120.51748,47.017577,Prediction1,test,4,22.2757491,3.3254298,3.3759937
4,S77,-120.583712,46.625578,Train1,none,0,51.17709486,1.452887896,0.2818825
4,S77,-120.583712,46.625578,Prediction1,maybe,2,44.91515035,1.452887896,0.2818825
4,S77,-120.583712,46.625578,Prediction1,test,4,42.88207196,1.452887896,0.2818825
4,S82,-120.480372,46.53837,Prediction1,no,3,15.18375047,0.8623335,0.2169893
4,S82,-120.480372,46.53837,Prediction1,no,3,20.5793506,0.8623335,0.2169893
3,S83,-121.227415,47.239586,Train1,none,0,28.95953004,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,maybe,2,31.10046702,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,maybe,2,32.1098049,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,test,4,24.58222278,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,22.56591776,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,29.65762905,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,24.49822133,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,29.827031,24.25640589,0.6670102
