COMID,D50_m,StreamOrder,site_ID,stream_name,lat,long
24126441,4.46e-5,3,U10,Umtanum Creek ,46.907959,-120.690234
24126427,0.002724906,3,U20,Umtanum Creek ,46.898674,-120.642121
24126399,1e-6,3,U21,Umtanum Creek  ,46.85504023,-120.4846022
24423347,0.00683685,3,C11,Clear Creek ,46.654386,-121.319166
24423347,0.00683685,3,C10,Clear Creek ,46.649199,-121.300698
24423347,0.00683685,3,C21,Clear Creek ,46.640209,-121.289883
24423347,0.00683685,3,Ct20,Clear Creek ,46.648153,-121.297706
24423347,0.00683685,3,Ct21,Clear Creek ,46.649118,-121.299522
24423347,0.00683685,3,C20,Clear Creek ,46.648259,-121.297089
24423879,0.0017082,1,J21,Jungle Creek,47.036739,-121.16403
24125193,0.005888307,6,U23,Yakima River,46.85575,-120.484212
24126441,4.46e-5,3,U22,Umtanum Creek ,46.9079,-120.690378
