site_ID,extra_name,group,perm_stat,perm_lat,perm_lon,gps_lat,gps_lon,NHD_lat,NHD_lon,stream_nam,work_window
S45,,RC2,RC2 permitted,46.6172,-121.15444,,,46.6172,-121.15444,South Fork Tieton River,No 
S46,,RC2,RC2 permitted,46.64157,-121.28898,,,46.64157,-121.28898,Clear Creek,No 
S47,,RC2,RC2 permitted,46.61823,-121.31549,,,46.61823,-121.31549,North Fork Tieton River,No 
S48,,RC2,RC2 permitted,46.64743,-121.25489,,,46.64743,-121.25489,Indian Creek,Yes 
S49,,RC2,RC2 permitted,46.72596,-120.82527,,,46.72596,-120.82527,Oak Creek,Yes 
S49R,,RC2,not permitted,NA,NA,46.724267,-120.813351,46.72410553,-120.8126594,Tieton River,NA
S50,,RC2,not permitted,NA,NA,46.631447,-120.521815,46.631447,-120.521815,Yakima River,Yes 
S50P,,RC2,RC2 permitted,46.75228,-120.81806,,,46.75228,-120.81806,Naches River,NA
S51,,RC2,RC2 permitted,46.7292,-120.80313,46.729878,-120.803616,46.729878,-120.803616,Tieton River,Yes 
S52,,RC2,RC2 permitted,46.65924,-121.0889,,,46.65924,-121.0889,Milk Creek,No 
S53,,RC2,RC2 permitted,46.66926,-121.12833,,,46.66926,-121.12833,Wildcat Creek,No 
S54,,RC2,RC2 permitted,46.68721,-120.93145,,,46.68721,-120.93145,Tieton River,Yes 
S55,,RC2,RC2 permitted,46.66332,-120.8043,46.663547,-120.805047,46.663547,-120.805047,South Fork Cowiche Creek,No 
S56,,RC2,RC2 permitted,46.62061,-120.6269,46.620687,-120.626954,46.620687,-120.626954,Cowiche Creek,Yes 
S57,,RC2,RC2 permitted,46.58648,-120.46084,,,46.58648,-120.46084,Yakima River,No 
S58,,RC2,RC2 permitted,46.68258,-120.65179,,,46.68258,-120.65179,Naches River,Yes 
S61,,RC2,RC2 permitted,47.06101,-121.28535,,,47.06101,-121.28535,South Fork Little Naches River,No 
S62,,RC2,RC2 permitted,47.05879,-121.28862,,,47.05879,-121.28862,Alder Creek,No 
S63,,RC2,not permitted,NA,NA,46.041823,-120.573226,46.041823,-120.573226,Satus Creek,No 
S63P,,RC2,RC2 permitted,46.04551,-120.5679,,,46.04551,-120.5679,Bull Creek,NA
S64,,RC2,RC2 permitted,46.25372,-120.95778,,,46.25372,-120.95778,North Fork Toppenish Creek,Yes 
S65,,RC2,RC2 permitted,46.73657,-120.90747,,,46.73657,-120.90747,Indian Creek,No 
S66,,RC2,RC2 permitted,46.61611,-121.14966,,,46.61611,-121.14966,Short and Dirty Creek,No
S67,,RC2,not permitted,NA,NA,46.855643,-120.483696,46.85542836,-120.4841988,Yakima River,NA
S68,,RC2,not permitted,NA,NA,46.855711,-120.484841,46.85502336,-120.4850592,Umtanum Creek,NA
S71,,RC2,not permitted,NA,NA,46.968185,-120.691204,46.968185,-120.691204,Manastash Creek,NA
S72,,RC2,not permitted,NA,NA,46.99491,-120.590443,46.99491,-120.590443,Manastash Creek,NA
S73,,RC2,not permitted,NA,NA,46.98778012,-120.5710861,46.98778012,-120.5710861,Yakima River,NA
S75,,RC2,not permitted,NA,NA,47.017577,-120.51748,47.017577,-120.51748,Wilson Creek,NA
S77,,RC2,not permitted,NA,NA,46.625578,-120.583712,46.625578,-120.583712,Cowiche Creek,NA
S79,,RC2,not permitted,NA,NA,46.763844,-120.456432,46.763844,-120.456432,Yakima River,NA
S82,,RC2,not permitted,NA,NA,46.53837,-120.480372,46.53837,-120.480372,Ahtanum Creek,NA
S83,,RC2,not permitted,NA,NA,47.239586,-121.227415,47.239586,-121.227415,Cabin Creek,NA
T02,Yakima at Mabton,RC2,RC2 permitted,46.232,-119.99993,46.232095,-119.999901,46.232095,-119.999901,Yakima River,No 
T03,Yakima at Union Gap,RC2,RC2 permitted,46.53459,-120.46653,46.530817,-120.470337,46.530817,-120.470337,Yakima River,No 
T05,,RC2,not permitted,NA,NA,46.728776,-120.713733,46.728776,-120.713733,Naches River,Yes 
T05P,Little Naches at Nile,RC2,RC2 permitted,46.98904,-121.09921,,,46.98904,-121.09921,Little Naches River,NA
T06,American River,RC2,RC2 permitted,46.97777,-121.16953,,,46.97777,-121.16953,American River,Yes 
T07,Yakima at Kiona,RC2,RC2 permitted,46.25424,-119.47369,46.255319,-119.47405,46.255319,-119.47405,Yakima River,Yes 
T41,Naches River Craig Road 1,RC2,RC2 permitted,46.72411,-120.70039,,,46.72411,-120.70039,Naches River,Yes 
T42,Naches River Craig Road 2,RC2,RC2 permitted,46.72895,-120.71431,,,46.72895,-120.71431,Naches River,Yes 
U10,,RC3,RC3 permitted,NA,NA,46.907959 ,-120.690234 ,46.907959 ,-120.690234 ,Umtanum Creek ,NA
U20,RC3_03,RC3,RC3 permitted,NA,NA,46.898674 ,-120.642121 ,46.898674 ,-120.642121 ,Umtanum Creek ,NA
U21,,RC3,RC3 permitted,NA,NA,46.855335 ,-120.484397 ,46.85504023,-120.4846022,Umtanum Creek  ,NA
U22,,RC3,RC3 permitted,NA,NA,46.9079,-120.690378,46.9079,-120.690378,Umtanum Creek ,NA
U23,,RC3,RC3 permitted,NA,NA,46.85575,-120.484212,46.85575,-120.484212,Yakima River,NA
W10,RC3_02,RC3,RC3 permitted,NA,NA,46.867459 ,-120.774414 ,46.867459 ,-120.774414 ,Wenas Creek,NA
W20,RC3_01,RC3,RC3 permitted,NA,NA,46.832848 ,-120.710887 ,46.832848 ,-120.710887 ,Wenas Creek,NA
