stream_order,site_id,long,lat,type,folder,label,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu
3,S17R,-121.10174,47.394429,Prediction1,yes,5,19.331032,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,15.365991000000001,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,34.458098,48.66764834,1.3633813
5,S18R,-121.096933,47.39603,Train1,none,0,17.773405999999998,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,no,3,54.565438,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,test,4,23.483996,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,34.107597000000005,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,20.109268999999998,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,21.708397,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,18.076067000000002,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,23.788013,91.7347576,2.238602
3,S19,-120.904118,47.258225,Prediction1,maybe,2,27.517364,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,no,3,46.01652,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,21.129621,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,37.080639,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,22.955296,8.821904652,1.6317056
4,S19E,-120.878922,47.255067,Prediction1,maybe,2,12.916703,22.45103372,0.5224068
4,S19E,-120.878922,47.255067,Prediction1,yes,5,12.105343,22.45103372,0.5224068
4,S19E,-120.878922,47.255067,Prediction1,yes,5,12.788051,22.45103372,0.5224068
5,S20R,-121.01556,47.19028,Train1,none,0,17.395781,49.71805342,1.5836164
5,S20R,-121.01556,47.19028,Prediction1,maybe,2,21.026882999999998,49.71805342,1.5836164
5,S20R,-121.01556,47.19028,Prediction1,test,4,21.513444,49.71805342,1.5836164
5,S20R,-121.01556,47.19028,Prediction1,yes,5,16.235601999999997,49.71805342,1.5836164
5,S20R,-121.01556,47.19028,Prediction1,yes,5,34.626408,49.71805342,1.5836164
5,S21R,-121.043826,47.185797,Prediction1,maybe,2,14.482087,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,maybe,2,24.954325,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,maybe,2,28.937224,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,15.818847,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,16.365374,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,27.880861,13.965597,1.9475806
5,S21R,-121.043826,47.185797,Prediction1,yes,5,14.936115,13.965597,1.9475806
