stream_order,site_id,long,lat,type,folder,label,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu
4,S14,-121.087854,47.41986,yolo,20210901_RC2_no,4,270.296942,24.79009001,1.3633813
4,S14,-121.087854,47.41986,yolo,20210901_RC2_no,4,131.458103,24.79009001,1.3633813
4,S14,-121.087854,47.41986,yolo,20210901_RC2_no,4,338.373272,24.79009001,1.3633813
4,S14,-121.087854,47.41986,yolo,20210901_RC2_no,4,94.34145500000001,24.79009001,1.3633813
4,S14,-121.087854,47.41986,yolo,20210901_RC2_no,4,113.856267,24.79009001,1.3633813
4,S14,-121.087854,47.41986,yolo,20210901_RC2_yes,6,295.994266,24.79009001,1.3633813
2,S15,-121.106919,47.363498,yolo,20210901_RC2_maybe,3,200.690536,14.477327,0.6839447
2,S15,-121.106919,47.363498,yolo,20210901_RC2_maybe,3,159.490036,14.477327,0.6839447
2,S15,-121.106919,47.363498,yolo,20210901_RC2_yes,6,267.501755,14.477327,0.6839447
2,S15,-121.106919,47.363498,yolo,20210901_RC2_yes,6,59.554202000000004,14.477327,0.6839447
2,S15,-121.106919,47.363498,yolo,20210901_RC2_yes,6,214.35905499999998,14.477327,0.6839447
2,S15,-121.106919,47.363498,yolo,20210901_RC2_yes,6,41.936996,14.477327,0.6839447
6,S23,-120.918817,47.185944,yolo,20210901_RC2_yes,6,36.160266,65.5549375,1.9481776
6,S23,-120.918817,47.185944,yolo,20210901_RC2_yes,6,27.303102,65.5549375,1.9481776
6,S23,-120.918817,47.185944,yolo,20210901_RC2_yes,6,30.237031000000002,65.5549375,1.9481776
6,S23,-120.918817,47.185944,yolo,20210901_RC2_yes,6,68.968783,65.5549375,1.9481776
4,S31,-120.480969,46.205978,yolo,20210901_RC2_maybe,3,78.408675,3.430043875,0.605099
4,S31,-120.480969,46.205978,yolo,20210901_RC2_no,4,56.82915,3.430043875,0.605099
4,S31,-120.480969,46.205978,yolo,20210901_RC2_no,4,104.600177,3.430043875,0.605099
4,S31,-120.480969,46.205978,yolo,20210901_RC2_VerticalQuadrat,5,78.408675,3.430043875,0.605099
5,S32,-120.41915470000001,46.23559571,yolo,20210901_RC2_maybe,3,66.03213,2.0958457,1.2134471
5,S32,-120.41915470000001,46.23559571,yolo,20210901_RC2_yes,6,63.637012000000006,2.0958457,1.2134471
5,S36,-120.199171,46.314573,yolo,20210901_RC2_no,4,93.648695,0.4924213,0.663722
5,S36,-120.199171,46.314573,yolo,20210901_RC2_no,4,71.941445,0.4924213,0.663722
5,S36,-120.199171,46.314573,yolo,20210901_RC2_VerticalQuadrat,5,93.648695,0.4924213,0.663722
3,S37,-120.611858,46.028244,yolo,20210901_RC2_maybe,3,107.99764400000001,2.184004552,0.5007477
3,S37,-120.611858,46.028244,yolo,20210901_RC2_no,4,192.144962,2.184004552,0.5007477
3,S37,-120.611858,46.028244,yolo,20210901_RC2_no,4,101.361846,2.184004552,0.5007477
3,S37,-120.611858,46.028244,yolo,20210901_RC2_yes,6,110.19421899999999,2.184004552,0.5007477
2,S38,-120.636526,46.029003,yolo,20210901_RC2_maybe,3,132.662939,1.961461408,1.496712
2,S38,-120.636526,46.029003,yolo,20210901_RC2_maybe,3,157.650853,1.961461408,1.496712
2,S38,-120.636526,46.029003,yolo,20210901_RC2_maybe,3,240.83453599999999,1.961461408,1.496712
2,S38,-120.636526,46.029003,yolo,20210901_RC2_no,4,182.096546,1.961461408,1.496712
2,S38,-120.636526,46.029003,yolo,20250228_Chen2024,7,81.385439,1.961461408,1.496712
2,S39,-120.649701,46.016704,yolo,20210901_RC2_maybe,3,102.169382,1.891390454,2.1839554
2,S39,-120.649701,46.016704,yolo,20210901_RC2_maybe,3,193.351101,1.891390454,2.1839554
2,S39,-120.649701,46.016704,yolo,20210901_RC2_maybe,3,127.89540099999999,1.891390454,2.1839554
2,S39,-120.649701,46.016704,yolo,20210901_RC2_maybe,3,114.209473,1.891390454,2.1839554
2,S39,-120.649701,46.016704,yolo,20210901_RC2_maybe,3,92.835661,1.891390454,2.1839554
2,S39,-120.649701,46.016704,yolo,20210901_RC2_no,4,136.329805,1.891390454,2.1839554
2,S39,-120.649701,46.016704,yolo,20250228_Chen2024,7,73.498771,1.891390454,2.1839554
5,S51,-120.803616,46.729878,yolo,20210901_RC2_maybe,3,139.238941,41.76372637,0.7623739
5,S51,-120.803616,46.729878,yolo,20210901_RC2_yes,6,41.943239,41.76372637,0.7623739
5,S51,-120.803616,46.729878,yolo,20250228_Chen2024,7,61.314698,41.76372637,0.7623739
4,S55,-120.805047,46.663547,yolo,20210901_RC2_maybe,3,100.61662100000001,4.707493925,1.2141032
4,S56,-120.626954,46.620687,yolo,20210901_RC2_maybe,3,259.937001,1.452887896,0.2818825
4,S63,-120.573226,46.041823,yolo,20210901_RC2_no,4,81.315044,4.070785795,0.59107137
4,S63,-120.573226,46.041823,yolo,20210901_RC2_no,4,48.569817,4.070785795,0.59107137
4,S63,-120.573226,46.041823,yolo,20210901_RC2_no,4,213.89667500000002,4.070785795,0.59107137
