d50_mm_log2,count_raw,count
-4.486935867,38.70671008,0.774134202
-3.517814727,89.99087473,1.799817495
-2.463182898,360.7878539,7.215757078
-1.465558195,868.8229768,17.37645954
-0.467933492,437.7451813,8.754903626
0.558194774,137.2159448,2.744318896
1.527315914,144.6456387,2.892912774
2.581947743,198.4768797,3.969537594
3.551068884,132.4760604,2.649521208
4.548693587,82.41960605,1.648392121
5.574821853,26.29343511,0.525868702
6.572446556,8.688229768,0.173764595
